지 역,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년
안양시(평균),30.191,35.602,55.551,74.015,80.418,80.339,74.111,73.225,73.137,73.496,73.746,63.325,64.813,65.809,66.528,74.732,76.864,80.353,84.681,89.189,92.898,91.636,92.364,92.895,93.382,93.565,94.514,95.691,97.525,100.106,103.432
만안구,-,-,-,-,-,82.966,76.447,75.178,74.787,75.02,75.2,65.074,66.039,66.456,67.116,75.155,77.209,80.57,84.327,89.035,92.361,91.226,91.882,92.657,93.309,93.62,94.64,95.836,97.652,100.102,103.511
동안구,-,-,-,-,-,78.331,72.347,71.777,71.963,72.439,72.744,62.142,63.975,65.373,66.134,74.444,76.628,80.21,84.895,89.276,93.22,91.881,92.65,93.035,93.425,93.534,94.442,95.604,97.45,100.109,103.384
부천시(평균),29.462,34.695,53.667,67.085,76.794,78.121,72.798,72.303,72.411,72.803,72.934,63.32,64.326,64.797,65.904,76.271,78.745,79.989,83.171,86.397,90.15,89.713,91.03,92.257,93.42,94.303,95.607,97.056,98.899,100.189,103.582
원미구,-,-,-,-,-,84.18,78.46,78.154,78.326,78.585,78.648,67.176,68.033,68.354,69.472,80.577,82.78,83.327,86.189,89.182,92.609,92.141,93.392,94.568,95.524,96.502,98.155,99.957,101.898,-,-
소사구,-,-,-,-,-,78.737,72.968,72.097,72.148,72.618,72.705,63.651,64.545,65.024,65.952,75.074,77.955,79.707,84.534,88.272,93.369,93.01,94.567,95.933,97.78,98.537,99.245,100.098,101.894,-,-
오정구,-,-,-,-,-,74.023,69.388,68.987,69.076,69.63,69.902,62.351,63.927,64.749,66.138,77.456,80.42,82.843,85.578,89.311,93.051,92.562,93.986,95.377,96.5,97.397,98.614,99.976,101.877,-,-
광명시,25.512,31.332,44.304,59.866,68.87,67.337,63.733,64.359,66.02,67.169,67.733,57.19,59.786,60.952,62.091,69.662,72.965,79.098,82.686,86.799,89.339,88.404,89.466,91.421,92.698,93.851,94.886,95.97,97.991,100.209,103.778
평택시,-,-,-,-,-,-,-,-,52.882,53.509,53.713,45.525,47.667,48.574,49.062,54.66,58.063,64.765,72.894,79.405,83.362,85.586,86.661,88.464,90.053,91.449,92.307,93.506,96.237,100.301,107.871
동두천시,35.746,42.593,68.249,79.409,90.04,92.774,86.376,86.14,86.156,86.84,87.274,73.676,75.87,76.585,76.561,82.419,84.012,87.744,89.929,92.422,95.255,95.02,95.593,96.343,97.189,97.685,97.739,98.005,98.836,100.084,101.745
안산시(평균),34.988,40.865,57.145,74.888,83.818,77.743,71.276,69.003,68.837,69.237,69.653,59.963,61.884,62.318,62.643,75.045,78.503,80.996,83.32,86.115,89.721,89.43,91.234,92.378,93.535,93.877,94.885,96.336,97.954,100.221,103.308
상록구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.643,83.279,85.635,88.577,91.245,90.965,91.996,93.193,94.345,94.649,95.474,96.726,97.954,100.204,103.248
단원구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.285,79.693,81.999,84.713,88.843,88.543,90.8,91.916,93.074,93.44,94.556,96.119,97.954,100.235,103.362
고양시(평균),-,-,-,-,-,63.1,60.742,62.148,64.472,66.033,66.914,55.398,58.906,59.947,61.078,72.898,76.174,81.704,84.775,88.081,91.634,91.773,93.108,93.879,94.786,95.085,95.401,96.313,97.93,100.136,103.76
덕양구,-,-,-,-,-,-,-,-,63.095,64.623,65.445,54.733,57.566,58.724,59.042,71.254,75.595,81.415,84.496,88.178,92.058,92.55,94.425,95.504,96.405,96.676,96.771,97.146,98.3,100.131,104.019
일산동구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.602,88.59,91.083,91.028,91.726,92.192,93.037,93.404,94.079,94.872,97.559,100.178,103.379
일산서구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,84.033,87.199,91.529,91.352,92.619,93.274,94.262,94.528,94.766,96.649,97.75,100.094,103.749
과천시,27.9,34.747,50.771,61.934,69.918,69.353,64.697,64.534,65.227,66.29,66.856,58.662,60.516,61.269,62.136,72.311,75.257,79.241,83.744,90.496,92.775,90.323,92.37,92.785,93.36,93.62,94.393,96.37,98.232,100.11,103.389
구리시,34.266,42.026,51.986,60.996,69.923,70.736,66.749,66.789,67.245,67.926,68.328,58.265,60.904,61.626,62.455,70.855,73.25,76.405,78.591,84.079,88.789,88.813,90.089,91.268,92.219,93.299,93.907,95.276,97.888,100.197,103.46
남양주시,-,-,-,-,-,-,-,-,60.806,61.25,61.49,52.224,54.674,55.898,57.61,65.814,69.609,73.763,77.92,81.882,85.251,86.762,88.157,89.459,90.557,91.834,92.538,94.147,97.098,100.186,104.156
오산시,-,30.595,48.029,56.998,65.292,67.506,62.503,62.396,62.627,62.909,63.584,53.629,55.971,56.15,57.516,69.032,73.114,79.596,83.388,87.637,91.332,90.195,90.691,91.943,93.348,94.342,95.372,96.921,98.42,100.184,102.9
시흥시,-,31.815,47.902,57.73,68.325,68.906,64.009,64.366,65.402,66.521,67.256,58.463,60.318,61.049,61.373,69.888,72.745,76.029,79.309,83.196,86.314,86.01,86.814,89.415,92.574,94.117,95.236,96.605,97.882,100.157,103.507
군포시,-,33.764,54.459,70.727,76.814,77.07,72.071,72.697,73.726,74.044,74.422,62.932,64.995,66.099,66.949,74.54,76.206,79.283,82.495,86.958,89.937,89.847,90.9,92.884,93.922,94.082,94.963,96.115,97.715,100.179,103.534
의왕시,-,25.755,45.738,62.67,69.461,68.527,63.714,64.248,65.301,66.042,66.545,57.577,59.637,60.665,61.494,68.462,70.18,74.598,79.114,85.662,88.606,87.638,88.724,89.794,90.936,91.973,92.882,94.742,97.093,100.169,104.349
하남시,-,26.522,36.156,45.354,50.376,50.601,49.035,48.605,48.838,49.299,49.56,44.475,45.773,46.527,46.994,54.471,59.308,61.672,65.709,70.247,73.917,73.13,75.852,79.464,83.949,86.816,90.097,93.702,97.033,100.1,103.989
용인시(평균),-,-,-,-,-,-,-,-,-,60.967,61.862,54.081,58.824,61.333,63.749,71.512,74.039,78.264,84.059,87.702,91.6,90.322,91.312,92.604,93.817,94.731,95.828,96.852,98.316,100.131,102.372
처인구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,80.323,84.814,89.278,89.931,90.862,92.409,93.943,94.909,96.001,97.007,98.347,100.144,102.51
기흥구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86.035,88.65,92.329,90.506,91.502,92.648,93.708,94.64,96.019,96.816,98.249,100.13,102.433
수지구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,86.561,90.322,93.606,90.558,91.608,92.78,93.819,94.635,95.32,96.709,98.381,100.118,102.094
파주시,-,-,-,-,-,-,-,-,-,58.925,60.034,50.933,55.189,57.609,59.244,68.346,71.287,80.755,85.403,89.039,93.477,93.305,94.16,94.998,95.862,96.896,96.909,98.123,98.97,100.125,102.936
이천시,-,-,-,-,-,-,-,-,-,66.588,66.808,57.78,61.4,63.406,64.883,69.679,72.131,78.25,83.258,86.297,89.538,88.659,89.61,90.917,92.287,93.304,94.368,95.96,97.849,100.186,102.948
안성시,-,-,-,-,-,-,-,-,-,-,-,60.24,63.731,64.845,65.248,69.012,70.431,75.12,81.389,85.769,89.736,88.754,89.326,90.882,92.707,93.621,94.398,95.732,97.89,100.098,103.353
김포시,-,-,-,-,-,-,-,-,-,-,-,57.705,60.199,61.934,62.724,67.307,73.138,78.3,84.788,87.621,90.292,91.711,92.924,94.486,95.436,96.763,97.02,97.362,98.679,100.078,103.458
화성시,-,-,-,-,-,-,-,-,-,-,-,-,-,51.7,53.474,61.183,65.399,68.819,75.109,80.124,84.583,86.441,87.498,89.59,91.812,93.755,95.02,96.252,98.043,100.368,104.475
광주시,-,-,-,-,-,-,-,-,-,-,-,-,-,58.557,60.297,67.918,70.412,77.03,81.782,86.382,90.618,89.963,90.542,91.916,93.408,94.474,95.537,96.704,98.036,100.169,103.552
양주시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,73.898,78.964,83.024,88.147,93.301,93.848,94.441,95.084,96.024,96.585,96.825,97.344,98.357,100.039,102.065
포천시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77.371,82.118,86.156,89.558,94.098,93.94,94.862,95.616,96.583,97.173,97.262,97.652,98.525,100.108,102.281
여주시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.491,96.295,97.999,100.202,103.44
연천군,39.605,44.189,64.239,73.886,85.54,87.88,83.754,83.746,83.989,84.561,85.282,69.816,71.649,74.71,75.783,78.618,79.343,85.643,88.901,91.767,95.276,95.013,95.654,96.399,97.219,97.807,98.002,98.267,98.98,100.074,101.576
가평군,42.271,51.515,75.358,85.216,87.384,86.86,80.112,80.08,80.529,81.41,82.145,68.712,70.328,70.842,71.818,77.787,80.465,85.51,88.582,91.313,93.77,93.382,94.39,95.43,96.271,96.852,97.16,97.894,98.712,100.104,102.409
양평군,50.663,58.349,72.89,77.719,82.319,81.571,77.249,76.878,77.349,78.141,78.445,66.338,68.497,68.989,70.911,76.415,77.759,81.679,85.005,89.373,91.78,91.181,92.481,93.999,94.844,95.809,96.485,97.292,98.37,100.155,103.74
강원(평균),43.933,53.195,66.764,74.754,80.125,80.967,77.014,76.929,77.802,78.779,79.38,72.793,74.614,75.657,77.385,78.843,80.255,82.076,84.237,86.36,87.796,88.128,88.429,89.173,90.436,92.055,93.243,94.891,97.398,100.246,104.073
시지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,91.123,92.433,94.338,97.11,100.278,104.245
군지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.531,94.526,95.755,97.847,100.196,103.807
춘천시,30.026,35.934,52.077,62.3,68.786,70.436,66.316,66.554,67.403,69.014,69.992,65.124,67.044,68.572,75.449,76.252,77.872,78.959,81.23,83.311,85.034,84.958,85.827,87.277,88.633,90.83,92.369,94.217,97.073,100.272,103.773
원주시,34.815,40.769,52.996,64.936,69.005,70.013,67.872,68.395,68.916,69.407,69.706,64.366,66.355,66.881,67.007,68.139,70.084,73.144,76.126,80.589,82.73,84.509,84.739,85.502,87.046,89.121,90.702,93.405,96.455,100.293,104.725
강릉시,48.616,62.174,68.828,80.557,91.549,89.624,86.254,86.253,87.72,88.848,89.543,79.549,80.769,81.695,81.891,83.362,84.654,85.486,87.236,88.05,88.42,88.269,88.239,88.503,90.041,92.112,93.504,95.131,97.782,100.35,104.434
동해시,35.019,47.86,64.404,75.791,87.086,88.849,85.087,84.153,85.508,86.901,88.142,84.731,86.981,88.097,87.938,88.193,90.149,92.011,92.467,93.487,94.318,94.271,94.09,94.138,94.214,94.632,94.908,95.968,98.095,100.217,103.419
태백시,80.38,85.238,87.097,85.883,81.278,80.724,77.959,79.812,82.168,85.696,86.738,81.257,83.078,85.521,89.169,92.706,93.338,94.538,95.53,96.51,97.059,97.055,96.758,96.854,96.898,97.097,96.918,97.104,98.562,100.139,102.094
속초시,48.941,55.587,70.009,83.452,93.619,95.337,89.312,89.268,89.912,91.032,91.799,83.851,85.114,85.242,85.292,86.614,87.832,90.314,90.928,91.341,91.909,91.898,92.057,92.355,92.937,93.696,94.019,94.265,96.87,100.213,106.035
삼척시,44.171,56.966,69.274,81.487,93.552,94.717,91.281,91.829,93.241,93.886,94.422,85.176,86.271,86.669,86.834,87.687,88.762,89.671,90.247,91.405,92.681,91.97,92.184,92.719,93.135,94.066,94.856,96.076,98.331,100.169,102.703
홍천군,54.771,64.073,73.871,78.802,80.744,80.582,75.233,74.85,74.745,74.745,75.239,69.013,70.957,71.833,73.243,76.985,77.927,79.918,83.348,85.314,87.135,88.038,88.717,89.983,91.582,92.997,94.122,95.338,97.544,100.193,103.466
횡성군,52.687,58.527,66.919,72.603,78.057,79.691,76.699,76.217,76.392,77.059,77.475,70.745,73.42,74.676,75.486,79.219,80.141,80.889,84.322,86.993,88.588,88.541,89.052,89.764,91.22,93.034,94.278,95.392,97.741,100.251,103.768
영월군,57.117,61.23,70.737,78.449,85.863,89.055,84.98,84.727,84.176,84.361,84.834,78.274,79.106,79.995,82.117,83.586,84.131,84.983,86.933,89.278,91.185,91.022,91.275,91.653,92.609,93.786,94.905,96.786,98.534,100.14,103.09
평창군,58.799,65.281,74.628,78.449,80.212,79.539,76.549,74.708,75.465,76.572,77.047,71.556,73.637,73.666,74.02,75.428,76.994,80.405,82.717,85.056,86.331,86.035,86.225,87.314,89.823,92.119,93.884,95.972,98.04,100.198,104.134
정선군,62.2,66.827,68.358,68.959,68.75,68.295,66.501,66.807,68.234,71.241,71.934,67.931,70.351,73.577,76.731,80.306,81.524,82.565,84.74,87.269,89.089,89.057,89.277,90.332,92.285,93.239,94.162,95.753,97.906,100.161,102.681
철원군,48.375,61.67,75.329,80.74,89.29,91.107,86.218,86.269,86.884,87.458,87.668,80.964,82.119,85.144,85.111,85.64,85.82,88.342,91.537,92.652,94.424,94.239,94.336,94.48,94.709,95.338,95.497,96.037,98.131,100.156,103.058
화천군,68.573,77.509,86.574,92.418,98.399,100.19,95.113,94.656,94.846,95.035,95.368,84.907,86.944,88.289,89.246,90.043,90.81,90.901,93.076,93.89,94.252,94.182,94.27,94.411,94.678,95.276,95.499,96.105,98.036,100.157,103.409
양구군,66.674,74.338,74.674,81.358,85.501,86.132,81.579,81.424,81.604,82.087,82.481,77.016,78.912,79.906,81.733,84.529,86.317,87.288,89.816,91.995,93.971,93.731,93.865,94.23,94.556,95.148,95.52,96.009,97.945,100.128,103.356
인제군,65.643,68.691,82.608,87.871,91.345,90.831,85.155,84.577,85.23,85.546,85.896,78.402,81.591,82.558,82.971,84.406,85.271,86.324,88.015,89.342,91.012,91.536,91.64,92.436,93.404,94.271,94.916,95.539,97.679,100.198,103.903
고성군,49.948,58.393,66.536,81.561,84.277,86.434,81.84,83.429,86.26,86.623,86.821,76.365,78.338,79.606,80.7,83.437,84.924,87.084,89.172,91.098,92.692,92.582,92.679,93.001,93.52,94.391,95.438,96.664,98.07,100.19,105.238
양양군,52.003,61.666,76.585,83.261,87.522,90.212,84.948,84.812,87.435,89.08,89.401,79.88,82.205,83.577,84.525,85.339,86.678,89.331,89.91,91.426,92.132,92.126,92.137,92.373,92.837,93.555,94.038,94.653,97.039,100.306,106.033
충북(평균),47.264,53.554,62.153,69.286,79.199,80.479,75.599,75.296,75.59,76.173,76.962,71.472,74.403,75.239,75.541,77.825,79.803,82.87,86.998,90.801,91.95,91.615,91.716,92.316,92.855,93.865,94.822,96.43,98.263,100.149,103.233
시지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.975,94.837,96.526,98.324,100.135,103.173
군지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.598,94.638,96.242,98.142,100.176,103.347
청주시(평균),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.422,98.26,100.147,103.105
상당구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.897,98.655,100.136,103.069
서원구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.909,98.326,100.138,102.769
흥덕구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.141,98.229,100.123,103.365
청원구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,96.086,97.956,100.194,103.03
충주시,48.341,54.818,63.901,75.469,87.057,88.355,82.939,82.212,82.376,83.285,84.114,78.421,79.961,80.304,80.209,80.738,81.693,83.489,88.712,90.896,91.888,91.395,91.573,92.307,92.974,93.943,94.824,96.903,98.588,100.087,103.223
제천시,55.152,63.643,73.485,82.828,93.574,95.179,89.303,88.786,88.883,89.373,90.098,84.25,86.996,87.93,87.365,87.523,88.206,89.403,91.151,94.121,94.93,94.124,93.258,93.413,93.746,94.314,95.075,96.498,98.241,100.149,103.558
보은군,58.523,72.336,81.139,89.874,93.832,93.851,87.643,86.665,86.708,87.073,87.885,83.94,87.802,88.639,88.663,88.044,87.912,88.599,90.246,92.64,93.819,93.742,93.813,94.292,94.377,94.725,95.314,96.437,98.335,100.141,102.554
옥천군,48.115,65.363,74.476,85.262,92.581,92.33,87.373,87.102,87.128,87.172,87.669,81.873,85.639,86.076,86.472,86.758,86.863,87.971,89.359,90.954,92.299,91.856,91.862,92.523,92.979,93.533,94.371,96.434,98.428,100.15,102.677
영동군,57.949,71.055,79.744,85.069,90.397,92.367,87.797,87.56,88.104,88.793,89.131,82.734,86.7,87.575,87.644,87.408,87.434,87.767,90.151,92.299,93.57,93.423,93.571,94.138,94.938,95.47,96.137,97.305,98.883,100.152,102.241
증평군,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,85.01,87.75,90.439,92.377,93.569,93.409,93.644,94.079,94.336,94.986,95.846,97.354,98.735,100.114,102.786
진천군,42.03,48.802,59.945,67.347,73.696,75.8,71.304,70.813,70.784,71.252,72.068,66.535,69.037,69.058,69.321,69.307,69.87,72.7,77.287,86.821,89.927,89.823,90.234,91.41,92.12,93.608,94.692,96.576,98.324,100.192,103.629
괴산군,54.795,59.566,66.629,80.491,86.739,88.592,83.044,82.34,82.744,83.634,84.447,77.812,84.111,86.214,86.702,86.642,87.022,87.563,89.511,91.457,92.707,92.662,92.887,93.61,94.25,94.866,95.304,96.345,98.344,100.181,102.792
음성군,43.977,50.135,58.397,65.257,72.04,74.174,69.771,69.256,69.777,70.865,71.533,65.354,68.758,69.35,69.69,69.746,70.138,72.398,76.91,86.231,87.963,87.518,88.018,89.044,90.511,92.069,93.265,95.453,97.583,100.203,103.987
단양군,63.041,70.382,80.293,86.034,92.95,94.927,89.411,89.179,89.383,90.218,90.407,83.071,85.537,85.631,85.896,86.215,86.715,87.01,89.357,91.258,92.414,91.929,92.066,92.488,93.329,94.03,94.598,96.055,97.877,100.14,103.968
충남(평균),38.828,45.172,57.665,64.192,70.331,71.122,66.603,66.284,66.105,66.822,67.58,62.772,64.772,65.539,65.781,67.413,70.653,78.885,85.452,90.191,92.019,91.911,92.147,93.217,93.927,94.753,95.49,96.813,98.277,100.142,103.129
시지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,94.502,95.258,96.663,98.203,100.143,103.358
군지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,95.639,96.309,97.327,98.53,100.138,102.349
천안시(평균),31.5,36.958,44.899,49.508,61.769,64.289,61.812,61.643,61.89,63.476,64.651,60.449,61.738,61.775,61.899,64.938,70.316,82.85,88.882,91.428,93.47,93.411,93.36,94.104,94.661,95.167,95.607,96.839,98.302,100.145,103.459
동남구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.652,93.485,94.266,94.972,95.47,95.817,96.689,98.38,100.14,102.767
서북구,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.229,93.28,93.995,94.436,94.949,95.458,96.96,98.245,100.148,104.001
공주시,36.118,43.773,53.397,59.28,65.826,65.714,60.944,60.366,59.818,60.141,61.103,56.139,58.394,58.951,58.909,60.119,64.086,69.945,82.344,90.186,91.2,89.756,89.36,90.011,90.812,92.769,93.505,94.976,97.293,100.134,102.478
보령시,-,-,-,-,-,-,-,-,72.444,73.207,73.964,68.444,71.201,72.463,73.328,76.293,78.136,83.106,88.201,93.023,94.259,92.682,92.868,94.325,94.783,95.422,95.91,97.357,98.523,100.078,102.399
아산시,-,-,-,-,-,-,-,-,56.804,58.981,59.817,54.903,56.483,57.181,57.335,60.063,65.306,76.803,84.336,89.141,91.004,91.162,91.901,93.348,94.181,94.761,95.388,96.721,98.022,100.184,103.855
서산시,-,-,67.358,74.608,82.691,83.012,77.237,76.99,75.788,75.505,76.18,69.629,71.925,72.843,72.923,73.625,75.392,82.114,85.623,89.023,90.713,90.552,91.291,92.168,92.779,94.085,95.181,96.568,98.337,100.102,103.634
논산시,-,-,-,-,-,-,-,-,-,79.328,80.427,74.43,76.526,77.672,78.198,78.785,82.453,85.823,92.301,93.557,93.875,92.874,91.943,92.799,93.83,95.096,95.836,96.797,98.241,100.203,102.92
계룡시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,82.606,88.692,95.41,98.473,98.553,96.217,95.888,95.729,95.923,96.202,96.44,97.342,98.314,100.25,102.585
당진시,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,92.406,93.433,94.841,96.808,98.441,100.116,103.327
금산군,45.015,54.684,60.993,67.621,79.919,82.847,78.047,77.844,77.859,78.884,79.867,74.942,77.613,79.443,80.16,80.44,81.847,86.336,92.897,95.891,96.507,95.054,93.593,94.277,95.22,95.886,96.51,97.471,98.767,100.151,102.092
부여군,60.269,66.076,79.196,88.214,91.648,88.936,83.018,83.051,83.15,83.625,84.591,78.833,81.965,83.275,83.6,83.926,84.592,88.259,91.576,93.465,94.429,93.662,93.93,94.364,94.898,95.681,96.142,97.106,98.42,100.14,102.092
서천군,49.252,60.954,78.47,87.276,93.683,94.02,86.804,85.294,85.2,85.353,85.558,81.447,84.083,86.051,85.976,86.174,86.536,87.926,92.579,93.833,95.272,94.546,94.593,94.973,95.371,95.945,96.614,97.524,98.662,100.175,102.064
청양군,55.084,66.546,76.048,78.623,82.316,82.561,76.827,76.236,75.947,76.632,77.517,72.285,74.099,74.455,74.387,74.492,75.066,81.705,86.562,92.855,95.068,93.905,94.14,94.677,95.444,96.268,96.73,97.267,98.446,100.117,102.014
홍성군,33.807,37.339,60.452,66.507,67.395,68.11,63.925,63.523,63.403,63.377,64.211,59.963,61.76,62.873,63.011,63.701,64.796,71.098,74.169,86.663,89.93,91.285,91.51,92.935,93.807,94.899,95.852,97.106,98.597,100.128,102.309
예산군,38.298,46.441,66.629,68.953,71.67,71.964,67.081,66.76,66.707,66.941,67.342,63.396,65.52,66.157,66.138,66.283,66.761,73.23,75.877,88.825,91.967,92.52,92.864,93.796,94.423,95.342,96.043,97.078,98.439,100.145,102.276
태안군,-,58.547,74.637,84.302,81.804,80.81,74.616,73.849,73.583,73.406,73.892,68.7,71.565,72.592,72.614,75.096,76.252,82.434,87.267,91.93,94.997,93.26,93.05,94.443,95.281,96.122,96.726,97.771,98.46,100.116,102.985
전북(평균),44.001,55.91,73.165,81.103,88.726,89.837,84.501,83.995,84.399,85.365,85.86,81.056,82.82,83.751,83.651,84.187,84.998,85.603,86.784,87.905,88.969,91.269,90.787,91.386,92.088,93.407,94.38,95.875,98.086,100.196,103.529
시지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.355,94.349,95.858,98.137,100.189,103.294
군지역,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,93.578,94.481,95.933,97.927,100.216,104.246
전주시(평균),40.086,50.417,68.489,79.865,88.736,89.469,84.346,83.463,83.688,84.461,84.993,78.232,79.649,79.952,79.912,80.972,82.841,83.855,85.338,86.891,88.608,88.59,88.599,89.195,90.056,91.53,92.683,94.404,97.497,100.237,104.175
